metadata,question,answer,ground_truths,keywords,passed
{},How many Israelis died in the attack launched by Iran?,"According to the search results, no Israelis were killed in the Iranian attack on Israel. The key details are:
Only one person, an Israeli Arab Bedouin child, was injured due to being hit by part of a missile.1 Thirty-one other people suffered anxiety or accidental self-inflicted minor injuries while rushing to protected areas.1
The search results do not mention any Israeli deaths from the Iranian strikes. They state that the vast majority of the Iranian drones and missiles were intercepted with the help of the U.S., U.K., France, and Jordan.23 While the attack was described as the largest attempted drone strike in history1, it appears Iran's intent was not to inflict mass casualties but rather to bolster its deterrence against Israel.5","['According to the reports, there were no reported fatalities from the Iranian attack on Israel']",['no casualties'],False
{},Whom did Putin say carried out the Moscow attack?,"According to the reports, Putin confirmed that the terrorist attack on the Crocus City concert hall in Moscow was carried out by radical Islamists.4 However, he also reiterated his earlier claims that Ukraine could have been involved, stating ""But we are interested in who ordered it. This atrocity may be just one part in a whole series of attempts by those who have been at war with our country since 2014 – the neo-Nazi Kyiv regime.""4
Despite growing evidence pointing to the Islamic State group's Afghan branch, Islamic State Khorasan Province (ISKP), as being responsible for the attack, Putin did not mention the affiliate in his statements.4 Instead, he continued to insinuate Ukraine's involvement, asking ""Who was waiting for them there?"" in reference to the US assertion that there was no indication of Ukrainian involvement.4
So while Putin acknowledged that radical Islamists carried out the attack, he also maintained accusations against Ukraine without providing evidence, despite ISIS claiming responsibility and US intelligence attributing the attack to ISIS-K.45","['Vladimir Putin stated that ""radical Islamists"" were behind the deadly attack on the Crocus City concert hall in Moscow']",['radical Islamists'],True
{},What precisely caused the ship to collide with the Baltimore bridge?,"The ship, named Dali, collided with the Francis Scott Key Bridge in Baltimore because it lost propulsion and power moments before the crash. Specifically:


The crew of the Dali issued a mayday call reporting they had lost power just before striking the bridge at a very rapid speed of around 8 knots (9 mph).24


Video footage showed the Dali's lights flickering off shortly before impact, indicating a loss of power.1


An inspection of the Dali in Chile last June had identified issues with the ship's propulsion and auxiliary systems, including problems with gauges and thermometers.2


Authorities stated that the loss of propulsion left the massive ship essentially a ""dead ship"" being carried by its own momentum, making it unable to stop or change course before crashing into the bridge support.4


So the direct cause appears to be a catastrophic power/propulsion failure on the Dali cargo ship as it was departing Baltimore, leaving it unable to maneuver or slow down before slamming into the bridge structure.124","['When the container ship MV Dali, 300 metres long and massing around 100,000 tonnes, lost power and slammed into one of the support piers of the Francis Scott Key Bridge in Baltimore, the bridge collapsed in moments.']",['lost power'],True
{},Which island recently experienced a volcanic eruption in Indonesia?,"Based on the search results, the island of Siau in Indonesia recently experienced a volcanic eruption from the Karangetang (also known as Api Siau) volcano located at the northern end of the island.1
The key details about this eruption are:


Karangetang is one of Indonesia's most active volcanoes, containing five summit craters along a N-S line.


In September-October 2024, an eruption produced an andesitic block lava flow that moved 70 m/day initially, threatening villages and destroying homes, trees, and a bridge.1


The eruption began on September 15, 2024 around 7am with lava and pyroclastics from a new vent on the SW flank, accompanied by loud rumbling after around 120 earthquakes/day had been felt in the preceding 11 days.1


By October 12, the lava flow had slowed to 20 m/day but was still within 650m of Ulu City, the capital of Siau Island, prompting evacuations.1


So the Karangetang volcano on the island of Siau experienced significant eruptive activity with lava flows in September-October 2024, posing threats to local villages and requiring evacuations, according to the detailed report from the Volcanological Survey of Indonesia.1",['The name of the volcano is Mount Ruang on the northern side of Sulawesi Island.'],['Sulawesi island||Mount Ruang'],False
{},What did the leaders of the three countries say?,"The leaders of Australia, Canada, and New Zealand issued a joint statement urging Israel to abandon its plans for a ground offensive in Rafah, Gaza. They warned that the planned operation would have a ""devastating"" impact on the Palestinians taking refuge in Rafah, stating ""There is simply nowhere else for civilians to go."" The prime ministers Anthony Albanese, Justin Trudeau, and Christopher Luxon said that Israel ""must listen to its friends"" and pointed out that many of their own citizens and families were among the estimated 1.4 million displaced in Rafah.4
They called for an ""immediate"" humanitarian ceasefire, highlighting the grave humanitarian crisis unfolding in Rafah due to Israel's relentless bombardment across Gaza that has driven civilians into makeshift camps in the city.4","['The leaders of the United States, Japan, and the Philippines recently held a summit. Here are some key points from their discussions:\n1. Shared Vision: They issued a “Joint Vision Statement” affirming their shared vision of a free and open Indo-Pacific and international order based on international law.\n2. Security and Economy: They discussed various areas of security and economy, and expressed a desire to advance Japan-U.S.-Philippines cooperation based on this Summit.\n3. Regional Situation: They discussed the security environment in the region and confirmed their unwavering commitment to freedom of navigation and overflight.\n4. Opposition to Unilateral Actions: They confirmed that they would oppose and resolutely respond to any attempts by the People’s Republic of China (PRC) to unilaterally change the status quo by. force in the South China Sea and the East China Sea.\n5. Inclusive Economic Growth: They resolved to promote enduring, inclusive economic growth and resilience in their countries and the broader Indo-Pacific.\nStrengthening Alliances: The Philippines’ decision to strengthen ties with Japan and the United States was described as a “sovereign choice” for the country.']","['Security', 'Economy', 'China']",False
{},Why Google fires 28 employees over protests inside work offices?,"Google fired 28 employees for protesting against the company's $1.2 billion contract with the Israeli government and military, known as Project Nimbus.24 The employees were part of a growing worker movement called ""No Tech for Apartheid"" that opposed Google providing AI and cloud computing services to Israel, which they believed could aid in human rights abuses against Palestinians.4
The protests escalated when a Google software engineer named Eddie Hatfield disrupted a company event in New York by standing up and declaring ""I refuse to build technology that powers genocide, apartheid, or surveillance. No tech for apartheid!""4 Three days after this incident, Google fired Hatfield, stating he had violated company policies by disrupting an official event.4
Another Google employee, Ariel Koren, claimed she was forced out of the company after speaking out against Project Nimbus.3 She filed a retaliation claim with the National Labor Relations Board, though it was dismissed due to insufficient evidence.3
At least two other Google employees, Josh Marxen and Arami Abdel Karim, publicly protested against Project Nimbus at the company's Cloud conference in San Francisco, expressing concerns that the technology could contribute to oppression and discrimination against Palestinians.3
The firings and resignations highlight growing worker activism at major tech companies like Google over the ethical implications and potential misuse of their technologies, especially in relation to military contracts and human rights issues.24","['Google fired 28 workers Wednesday in Sunnyvale and New York, calling their protests inside work offices “completely unacceptable behavior” that prevented some employees from accessing their facilities.\n\nThe tech giant said protests on Tuesday over the company’s contracts with Israel disrupted several locations. The Chronicle reported that at Google’s Sunnyvale offices, police arrested five workers who held a sit-in Tuesday to protest their employer’s cloud contract with the Israeli government.']","['contracts', 'Israel']",True
{},How many soldiers were wounded in the attack launched by Hezbollah on northern Israel recently？,"According to the BBC report 1, in the recent attack by Hezbollah on the Israeli border village of Arab al-Aramshe, 14 Israeli soldiers were wounded. The report states:
""On Wednesday, 14 Israeli soldiers were wounded in a missile and drone attack. Dozens of rockets were also fired from Lebanon at northern Israel.""
The Times of Israel article 2 corroborates this, mentioning that ""14 troops, 4 civilians wounded in Hezbollah drone attack on northern Israel.""
So based on these reputable news sources, the number of Israeli soldiers wounded in the recent Hezbollah attack on northern Israel was 14.","['n the recent attack launched by Hezbollah on northern Israel, a total of 14 soldiers were wounded. Among those injured, six of them were reported to be seriously wounded. The attack involved a combination of missiles and drones targeting a military base in northern Israel, specifically the Bedouin border town of Arab al-Aramshe. This assault by Hezbollah was a significant event in the ongoing conflict between the group and Israel.']",['14'],True
{},What weapons were used to attack Israel from Iran?,"According to the search results, Iran launched a massive attack on Israel on April 13, 2024, using a combination of drones, cruise missiles, and ballistic missiles. The specific weapons mentioned include:

Around 170 drones, including Shahed-136 drones13
Over 30 cruise missiles1
More than 120 ballistic missiles, such as Kheibar Shekan ballistic missiles with a range of 900 miles, Emad ballistic missiles, and Ghadr-1 medium-range ballistic missiles (MRBMs)135

The ballistic missiles were launched from Iran itself, while some drones and missiles were also fired from Iran-backed groups in neighboring countries like Iraq, Syria, Lebanon, and Yemen13. The primary target of the attack was the Nevatim Air Base in southern Israel, where Israeli F-35 fighter jets are based3.
The attack was a retaliation by Iran for an alleged Israeli airstrike on April 1 that killed several Iranian Revolutionary Guard Corps officers in Damascus, Syria14. It marked the first direct military confrontation between Iran and Israel14.","['Iran fired 170 drones, more than 30 cruise missiles and more than 120 ballistic missiles. Of those, several ballistic missiles reached Israeli territory, causing minor damage to an air base.']","['drones', 'missiles']",True
{},Why is GTA 6 publisher laying off 600 employees,"GTA 6 publisher Take-Two Interactive is laying off around 5% of its workforce, which amounts to approximately 579 employees.13 The layoffs are part of a cost-cutting measure and restructuring effort, as the company is also canceling several unannounced projects that were in development.4
While the exact reasons behind the layoffs are not explicitly stated, it is likely a move to reduce costs and focus resources on the company's most promising and profitable projects. The video game industry has seen numerous layoffs and hiring freezes in recent months, with companies like Electronic Arts, Amazon, and others also cutting jobs.24
The layoffs at Take-Two come as the company is in the final stages of developing the highly anticipated Grand Theft Auto VI (GTA 6).1 However, it is unclear if the layoffs will directly impact the development of GTA 6 or if the game was one of the projects spared from cancellation.","[""The decision to lay off approximately 600 employees at Take-Two Interactive, the parent company of Rockstar Games, is part of a broader cost-cutting strategy. The company is rationalizing its pipeline, eliminating several projects in development, and streamlining its organizational structure. This downsizing process is expected to be largely complete by the end of the year 2024. Additionally, Take-Two had already signaled its intention for a significant cost reduction plan following mixed financial results for the quarter ending in December 2023. Despite these challenges, Take-Two has continued to invest in its portfolio, including the acquisition of Gearbox and the development of the highly anticipated 'GTA 6'.""]",['cost-cutting'],True
{},"The world’s best airports for 2024, according to Skytrax","According to the Skytrax World Airport Awards for 2024, the world's best airports are:

Doha Hamad International Airport (Qatar) 1245
Singapore Changi Airport (Singapore) 124
Seoul Incheon International Airport (South Korea) 124
Tokyo Haneda Airport (Japan) 124
Tokyo Narita International Airport (Japan) 124

Key Highlights


Doha Hamad International Airport in Qatar was named the World's Best Airport for 2024, dethroning Singapore Changi Airport which had held the top spot for several years.245


Singapore Changi Airport took the 2nd place, winning awards for Best Airport in Asia and World's Best Airport Immigration Service.4


Seoul Incheon Airport moved up to 3rd place and was named the World's Most Family Friendly Airport.4


Tokyo Haneda Airport was declared the World's Cleanest Airport, World's Best Domestic Airport, and Best for PRM & Accessible Facilities.124


Tokyo Narita Airport won awards for World's Best Airport Staff and Best Airport Staff in Asia.14


The rankings are based on the annual Skytrax World Airport Survey which evaluates traveler experiences across various airport services and facilities.245","[""According to the Skytrax rankings for 2024, Doha's Hamad International Airport has been named the best airport in the world.""]","[""Doha's Hamad""]",False
