metadata,question,answer,ground_truths,keywords,passed
{},Key features and specifications about rabbit r1,"Rabbit R1: Key Features and Specifications
The Rabbit R1 is a handheld device with several unique features and specifications. Here's a breakdown of its key features and specifications based on the provided search results:
1. AI-Powered Operation:

The Rabbit R1 is powered by its own operating system called Rabbit OS, which is fronted by an AI chatbot capable of answering questions and performing tasks .
It features a Large Action Model (LAM) that allows it to learn tasks, replicate them, and grow smarter over time.

2. Design and Display:

The R1 sports a modern design and is small, roughly the size of a stack of Post-It notes, making it highly portable .

","['The Rabbit R1 is a handheld AI-powered device. Here are some key features and specifications:\n Dimensions : 78mm*78mm*13mm / 3in*3in*0.5in¹\n Weight : 115g\n Battery Life and Charging Capabilities : 500 cycles > 80%, charging current 500mA, rate capacity 1000mAh\n Connectivity : Bluetooth 5.0 / Wi-Fi with 2.4GHz + 5GHz / 4G LTE\n Processor : MediaTek MT6765 Octa-core (Helio P35) max CPU frequency 2.3GHz\n Memory : 4GB\n Storage : 128GB\n Display : 2.88in TFT touchscreen\n Camera : 8MP, 3264x2448\n Video Resolution : 24fps, 1080p\n Operating Temperatures : 0°C - 45°C or 32ºF - 113ºF']","['115', '2.88']",False
{},가정 도우미 로봇 Ballie는 어떤 기능이 있나요?,"가정 도우미 로봇 Ballie의 기능
Ballie는 다음과 같은 기능을 가지고 있습니다:

가정 보안 및 감시: Ballie는 CCTV를 통해 가정의 보안을 감시하고, 이상 징후를 감지할 수 있습니다.
인공 지능 기능: Ballie는 인공 지능을 기반으로 하여, 사용자와의 상호작용을
","['삼성의 가정 도우미 로봇 Ballie는 다음과 같은 기능을 갖추고 있습니다:\n개인 가정 보조 : Ballie는 집 안에서 자율적으로 이동하며 다양한 작업을 수행할 수 있습니다.\n스마트 기기 제어 : Ballie는 집에 있는 다른 스마트 기기를 연결하고 제어할 수 있습니다.\n개인화 서비스 : Ballie는 사용자의 행동과 습관을 자동으로 학습하고 개인화된 서비스를 제공합니다.\n원격 감시 : 사용자가 집을 비울 때 Ballie는 비디오로 애완동물이나 가족 구성원의 상황을 업데이트할 수 있습니다.\n프로젝션 아티스트 : Ballie는 바닥, 벽 또는 천장에 물체를 프로젝션할 수 있으며, 이는 애완동물을 위한 비디오 재생, 비디오 통화 표시, 운동 비디오 제공 등을 포함합니다.\n스마트 홈 어시스턴트 : Ballie는 조명 제어, 애완동물 음식 공급, 문자 메시지 전송, 에어컨, 세탁기 등의 기기를 제어할 수 있습니다.']",['가정 도우미||기기 제어||원격 감시||가정 어시스턴트'],True
{},maximum speed of Moonwalker in 2024,"Maximum Speed of Moonwalker in 2024
The Moonwalkers, developed by Shift Robotics, are claimed to be the world's fastest shoes, capable of boosting a wearer's walking speed by up to 250%. These battery-powered sneakers are designed to allow users to walk at the speed of a run, providing a significant increase in walking speed without exerting more energy or incurring additional safety risks .
The Moonwalkers are reported to have a top speed of 7 mph and a range of 5-7 miles. They are designed to support a maximum user weight of 220 lbs (100kg) and can run for up to an hour on a single charge, covering 6 to 9 miles in one hour depending on the user's speed . Additionally, the AI system equipped in the Moonwalkers adapts to the","['In 2024, the Moonwalkers, which are robotic shoes developed by Shift Robotics, have a top speed of up to 7 miles per hour (11.2 kilometers per hour).']",['7||11.2'],True
{},LG SIGNATURE OLED T 4K는 어떤 종류의 TV인가요?,"LG SIGNATURE OLED T 4K TV에 대해
LG SIGNATURE OLED T 4K TV는 투명한 디스플레이와 무선 비디오 및 오디오 전송 기술을 결합하여 화면 경험을 이전에는 불가능했던 방식으로 변화시키는 기술적인 경이로움입니다. 이 TV는 77인치의 화면 크기를 유지하면서",['LG SIGNATURE OLED T 4K는 세계에서 최초로 출시된 무선 투명 OLED TV입니다.'],['투명'],True
{},SQPV 유리,"About SQPV (Squirrelpox Virus)
Squirrelpox virus (SQPV) is a virus that causes a fatal disease in red squirrels in the United Kingdom and the Republic of Ireland. The virus is often carried by grey squirrels from North America, which rarely die from the disease. However, in the UK and Ireland, the virus has caused epidemics with high mortality in Eurasian red squirrels, which are now threatened. The virus is endemic in North American grey squirrels, in which it shows little evidence for morbidity or mortality",['SQPV 유리는 InQs 회사에서 개발한 혁신적인 투명 태양광 유리입니다. 이 기술은 태양광을 발전시키는 데 뿐만 아니라 보이지 않는 빛에서 에너지를 얻는 데에도 사용됩니다. 이는 어두운 실내 환경이나 흐린 날에도 효율적으로 작동할 수 있습니다.'],['InQs||발전||에너지'],False
{},BMind 거울이 제 불면증을 완화할 수 있을까요?,"BMind 거울이 불면증을 완화할 수 있는지에 대해요? 일반적으로, BMind 거울은 수면을 도울 수 있는 특별한 기능을 가지고 있지는 않아요. 그러나 BMind 거울을 사용하면 편안한 분위기를 조성하고, 수면 전 스트레스를 줄이는 데 도움이 될 수 있어요","['BMind 거울은 인공 지능을 기반으로 하는 스마트 거울로, 사용자의 감정을 인식하고 스트레스를 관리하는 데 도움을 줄 수 있습니다. 빛 치료 세션, 명상 가이드, 자기 긍정적인 서비스를 제공하여 사용자의 감정을 조절하고 스트레스를 효과적으로 관리할 수 있도록 돕습니다. 이러한 기능은 불안을 완화하고 불면증을 줄이며 긍정적인 마인드를 유지하는 데 도움이 될 수 있습니다.']",['도움||줄이다'],True
{},電動汽車“AFEELA”的自動駕駛功能是Level幾？,"Level 3
根据最新的消息，电动汽车“AFEELA”的自动驾驶功能是Level 3。",['AFEELA的自動駕駛功能可以理解為：AFEELA與Qualcomm Technologies合作，搭載了世界領先的半導體，實現了在特定條件下的自動駕駛功能Level 3，以及在更廣泛的駕駛條件下的駕駛輔助功能Level 2/2+。換句話說，AFEELA具備自動駕駛功能Level 3和更廣泛的駕駛輔助功能Level 2/2+。'],"['具備', 'Level 3||Level3']",False
{},本田Motocompacto可以開多少公里？,本田Motocompacto的行驶里程取决于多种因素，包括车辆的年份、维护情况以及使用方式。根据我找到的信息，**本田Motocompact,['本田Motocompacto是一款电动滑板车，根據資料顯示，它的續航里程約為12至20公里。'],['12||20'],False
{},제안드리는 하나의 노트북은 눈에 불편함 없이 3D 화면을 지원하는 것입니다.,"3D 화면을 지원하는 노트북 제안
제안드리는 노트북은 3D 화면을 지원하며, 눈에 불편함이 없습니다. 이 노트북은 UHD 해상도와 RTX 5000 GPU를 탑재하고 있어, 고해상도의 3D 콘텐츠를 원활하게 경험할 수 있습니다.
이 노트북은 Windows 운영체제를 사용하며, Bluetooth 기능을 지원하여 다양한 무선 기기와의 연결이","['宏碁 Predator Helios 3D 15 SE SpatialLabs 특별판:\n특징: 이 노트북은 눈에 불편함 없이 3D 화면을 제공하며, 눈 추적과 3D+ SpatialLabs TrueGame 기술을 지원하여 전문 3D 콘텐츠 제작 사용자에게 적합합니다.\n구성: Intel 코어 i9 프로세서, 고속 DDR5 메모리, RTX 4080 그래픽 카드 등을 탑재하고 있으며, 삼성의 독자적인 눈 추적 기술을 지원합니다.\n기타 특징: 전체 크기의 RGB 백라이트 키보드, 고급 냉각 시스템 및 다양한 인터페이스 등을 제공하여 다양한 요구에 적합합니다.\n출시 시기 및 가격: 이 노트북은 6월에 출시되었으며, 약 3499 유로에 판매되며 전문 사용자에게 통합된 3D 체험을 제공합니다.\n\nASUS VivoBook Pro 16X 3D OLED 노트북:\n특징: VivoBook Pro 16X는 3D OLED 디스플레이를 갖추고 있어 눈에 불편함 없이 3D 디스플레이를 지원하여 콘텐츠 제작자에게 적합합니다.\n구성: Intel 13세대 코어 HX 프로세서, 최신 DDR5 메모리 및 2TB PCIe 4.0 SSD, RTX 40 시리즈 그래픽 카드를 탑재하고 있습니다.\n화면: 15.6인치 OLED 화면으로, 120Hz 주사율과 눈에 불편함 없이 3D 디스플레이를 지원합니다.\n가격과 출시 시기: 구체적인 가격과 출시 시기는 공개되지 않았으며, 우수한 성능을 가진 기대되는 3D 노트북입니다.']",['Predator Helios 3D 15 SE SpatialLabs||VivoBook Pro 16X 3D OLED'],False
{},小米SU7支持华为ADS 2.0吗？,"小米SU7支持华为ADS 2.0吗？
很抱歉，我无法找到关于小米SU7支持华为ADS 2.0的信息。如果您有其他问题，我很乐意帮助您解答。",['小米SU7车型不支持华为ADS 2.0智能驾驶系统。'],['不支持'],False
